s	Product	Department	Dept_Name	Year	Month	Sales	Transactions	Items
51	BANANA Organic	2	PRODUCE	2011	9	19132.2	11784	12104
151	Banana Organic	2	PRODUCE	2014	9	19126.42	9028	9269
51	BANANA Organic	2	PRODUCE	2011	1	19114.08	10129	10363
151	Banana Organic	2	PRODUCE	2015	10	19060.53	9962	10183
151	Banana Organic	2	PRODUCE	2015	11	19034.31	9153	9404
3338320038	O.Strawberries 16oz pkg	2	PRODUCE	2014	7	18998.39	3985	4392
3338320038	O.Strawberries 16oz pkg	2	PRODUCE	2012	6	18986.23	3767	4089
51	BANANA Organic	2	PRODUCE	2010	11	18967.03	10579	10853
151	Banana Organic	2	PRODUCE	2015	12	18888.77	8944	9169
11	BROCCOLI Organic	2	PRODUCE	2010	12	18844.83	3873	3895
319	Peach Yellow CA/CO Organic	2	PRODUCE	2011	9	18787.73	3339	3321
153	Grapes Red Organic	2	PRODUCE	2011	8	18766.15	2926	3005
133	AVOCADO Hass Organic	2	PRODUCE	2015	1	18714.86	8126	9617
347	BROCCOLI Organic	2	PRODUCE	2015	1	18712.48	4610	4639
151	Banana Organic	2	PRODUCE	2016	3	18707.56	9284	9511
99	Wedge Cookie	8	DELI	2015	8	18690.05	5385	6124
99	Wedge Cookie	8	DELI	2015	4	18662.93	5699	6648
51	BANANA Organic	2	PRODUCE	2012	6	18638.87	8702	8835
11	BROCCOLI Organic	2	PRODUCE	2011	12	18607.78	3977	3977
151	Banana Organic	2	PRODUCE	2016	6	18568.96	9903	10095
828	TOMATOES Heirloom Local	2	PRODUCE	2012	7	18546.04	3936	4079
99	Wedge Cookie	8	DELI	2014	5	18491.8	5519	6773
151	Banana Organic	2	PRODUCE	2016	10	18480.26	9752	9969
54227200176	 * Manufacturers Coupon	6	FROZEN	2011	8	18438	3	-4
11	BROCCOLI Organic	2	PRODUCE	2013	4	18426.96	4665	4699
153	Grapes Red Organic	2	PRODUCE	2010	6	18404.08	2773	2812
11	BROCCOLI Organic	2	PRODUCE	2012	1	18373.9	5008	5035
11	BROCCOLI Organic	2	PRODUCE	2011	3	18320.37	4449	4475
51	BANANA Organic	2	PRODUCE	2010	7	18215.14	11639	11922
151	Banana Organic	2	PRODUCE	2016	11	18195.28	9079	9285
3338320038	O.Strawberries 16oz pkg	2	PRODUCE	2015	6	18165.84	3906	4434
347	BROCCOLI Organic	2	PRODUCE	2015	4	18145.72	3806	3812
3338320038	O.Strawberries 16oz pkg	2	PRODUCE	2012	7	18129.61	3954	4273
99	Wedge Cookie	8	DELI	2015	9	18125.35	5314	6003
151	Banana Organic	2	PRODUCE	2016	7	18124.09	9735	9986
99	Wedge Cookie	8	DELI	2015	3	18036.96	5650	6448
99	Wedge Cookie	8	DELI	2014	10	18020.46	5397	6368
51	BANANA Organic	2	PRODUCE	2011	7	18004.33	11782	12056
347	BROCCOLI Organic	2	PRODUCE	2016	1	17962.66	4831	4870
51	BANANA Organic	2	PRODUCE	2010	12	17957.01	9974	10280
51	BANANA Organic	2	PRODUCE	2012	9	17938.43	8921	9087
99	Wedge Cookie	8	DELI	2013	5	17816.39	5680	6774
3338320038	O.Strawberries 16oz pkg	2	PRODUCE	2015	4	17815.69	3326	3811
320	Peach Colorado Organic	2	PRODUCE	2016	8	17813.72	4021	4057
11	BROCCOLI Organic	2	PRODUCE	2013	2	17684.92	4023	4051
130	AVOCADO Hass Big O.	2	PRODUCE	2016	5	17618.55	5720	6596
351	Asparagus Green/Purple Organic	2	PRODUCE	2014	5	17605.68	2075	2092
130	AVOCADO Hass Big O.	2	PRODUCE	2016	4	17602.5	5678	6524
99	Wedge Cookie	8	DELI	2014	8	17596.84	5308	6402
3338320038	O.Strawberries 16oz pkg.	2	PRODUCE	2010	4	17574.68	3242	3566
51	BANANA Organic	2	PRODUCE	2011	8	17553.59	11472	11702
700	Squash Winter/Pie Pumpkin O.	2	PRODUCE	2013	11	17545.56	2726	3065
99	Wedge Cookie	8	DELI	2014	7	17523.44	5255	6297
99	Wedge Cookie	8	DELI	2015	7	17500.61	5118	5932
51	BANANA Organic	2	PRODUCE	2010	9	17459.15	11275	11530
826	TOMATOES Living Waters Hydro	2	PRODUCE	2013	7	17456.41	4938	4987
51	BANANA Organic	2	PRODUCE	2010	8	17411.46	11105	11331
99	Wedge Cookie	8	DELI	2014	9	17409.95	5397	6358
99	Wedge Cookie	8	DELI	2016	3	17385.64	5152	5873
151	Banana Organic	2	PRODUCE	2016	5	17351.33	8855	9043
133	AVOCADO Hass Organic	2	PRODUCE	2011	7	17345.09	5903	7020
99	Wedge Cookie	8	DELI	2012	5	17279.75	5814	7333
99	Wedge Cookie	8	DELI	2013	8	17257.58	5392	6645
151	Banana Organic	2	PRODUCE	2016	8	17256.49	9581	9755
347	BROCCOLI Organic	2	PRODUCE	2015	5	17238.91	4028	4044
99	Wedge Cookie	8	DELI	2015	10	17223.95	5067	5767
151	Banana Organic	2	PRODUCE	2016	2	17191.39	7813	7986
11	BROCCOLI Organic	2	PRODUCE	2010	3	17178.53	4765	4776
351	Asparagus Green/Purple Organic	2	PRODUCE	2013	6	17140.77	1938	1932
99	WEDGE COOKIE	8	DELI	2010	5	17085.98	5625	6835
828	TOMATOES Heirloom Tomato King	2	PRODUCE	2011	7	17077.17	3352	3421
11	BROCCOLI Organic	2	PRODUCE	2010	4	17020	4233	4257
99	Wedge Cookie	8	DELI	2013	7	17004.03	5245	6677
351	Asparagus Organic	2	PRODUCE	2015	5	17000.13	1946	1945
85667700401	O.Blueberries pint	2	PRODUCE	2015	7	16988.57	2605	2918
99	Wedge Cookie	8	DELI	2015	6	16947.91	5050	5908
99	Wedge Cookie	8	DELI	2013	10	16943.65	5281	6685
99	WEDGE COOKIE	8	DELI	2010	4	16940.53	5696	6958
99	Wedge Cookie	8	DELI	2014	4	16882.95	5185	6462
99	Wedge Cookie	8	DELI	2014	3	16882.24	5223	6402
99	Wedge Cookie	8	DELI	2014	6	16769.82	5083	6202
99	Wedge Cookie	8	DELI	2013	3	16741.76	5413	6376
99	Wedge Cookie	8	DELI	2012	3	16721.56	5599	6987
130	AVOCADO Hass Big O.	2	PRODUCE	2016	3	16707.15	5431	6020
351	Asparagus Organic	2	PRODUCE	2011	5	16589.08	2293	2292
99	Wedge Cookie	8	DELI	2013	6	16580.55	5067	6188
153	Grapes Red Organic	2	PRODUCE	2014	8	16538.61	2691	2719
3338320038	O.Strawberries 16oz pkg	2	PRODUCE	2014	6	16535.63	3395	4259
99	WEDGE COOKIE	8	DELI	2010	10	16527.91	5422	6688
828	TOMATOES Heirloom TomatoKing	2	PRODUCE	2014	7	16516.14	3402	3547
8026	Gift Card Sold	15	MISC P/I	2010	12	16432.68	300	348
99	Wedge Cookie	8	DELI	2013	9	16393.59	5161	6552
99	Wedge Cookie	8	DELI	2012	4	16358.68	5565	6969
11	BROCCOLI Organic	2	PRODUCE	2013	5	16336.89	4537	4560
99	Wedge Cookie	8	DELI	2015	1	16321.35	4681	5465
735	Yam Organic	2	PRODUCE	2014	11	16311.68	3363	3518
130	AVOCADO Hass Big O.	2	PRODUCE	2016	11	16252.1	3329	3667
99	Wedge Cookie	8	DELI	2016	4	16245.73	4802	5644
99	WEDGE COOKIE	8	DELI	2010	6	16235.98	5296	6536
