Date	Hour	Sales	Transactions	Items
1/19/2010	22	143.31	6	38
1/20/2010	8	17.04	2	4
1/20/2010	9	1918.98	57	496
1/20/2010	10	3389.78	82	891
1/20/2010	11	4994.91	97	1293
1/20/2010	12	5012.37	136	1408
1/20/2010	13	5056.91	142	1491
1/20/2010	14	4439.86	111	1247
1/20/2010	15	5629.06	137	1498
1/20/2010	16	4109.39	113	1111
1/20/2010	17	5542.53	140	1557
1/20/2010	18	4453.97	149	1337
1/20/2010	19	4045.63	117	1186
1/20/2010	20	3500.3	110	1034
1/20/2010	21	3089.36	78	917
1/20/2010	22	344.35	4	65
1/21/2010	9	938.31	41	294
1/21/2010	10	2942.36	66	780
1/21/2010	11	4269.26	101	1108
1/21/2010	12	4308.22	119	1226
1/21/2010	13	4359.86	129	1176
1/21/2010	14	4315.94	107	1186
1/21/2010	15	4314.5	99	1116
1/21/2010	16	3789.54	111	1091
1/21/2010	17	4429.27	123	1269
1/21/2010	18	4583.46	128	1309
1/21/2010	19	4686.99	119	1336
1/21/2010	20	2892.88	83	803
1/21/2010	21	2248.61	72	680
1/21/2010	22	251.42	6	98
1/22/2010	8	2.29	1	1
1/22/2010	9	2746.06	78	758
1/22/2010	10	3499.35	84	981
1/22/2010	11	5944.67	123	1441
1/22/2010	12	7053.73	144	1949
1/22/2010	13	5017.26	140	1419
1/22/2010	14	5173.97	125	1377
1/22/2010	15	5515.37	139	1547
1/22/2010	16	5582.55	116	1621
1/22/2010	17	5247.15	144	1467
1/22/2010	18	4752.9	128	1388
1/22/2010	19	3852.7	97	1143
1/22/2010	20	1959.33	57	495
1/22/2010	21	2377.65	57	646
1/22/2010	22	7.56	1	2
1/23/2010	9	2222.93	53	649
1/23/2010	10	5646.44	108	1539
1/23/2010	11	6497.72	129	1969
1/23/2010	12	9578.87	176	2632
1/23/2010	13	8500.6	161	2340
1/23/2010	14	8438.49	184	2211
1/23/2010	15	8242.53	167	2491
1/23/2010	16	9002.23	186	2620
1/23/2010	17	7593.67	164	2244
1/23/2010	18	4962.87	126	1425
1/23/2010	19	4366.67	108	1270
1/23/2010	20	2066.75	63	615
1/23/2010	21	186.02	5	64
1/24/2010	9	3210.73	64	864
1/24/2010	10	5677.15	113	1673
1/24/2010	11	8573.15	146	2394
1/24/2010	12	9541.43	197	2676
1/24/2010	13	9234.1	191	2715
1/24/2010	14	9396.26	172	2660
1/24/2010	15	9150.29	184	2592
1/24/2010	16	8792.97	188	2488
1/24/2010	17	6193.53	162	1868
1/24/2010	18	4691.7	104	1371
1/24/2010	19	3561.99	74	976
1/24/2010	20	2387.29	58	781
1/24/2010	21	131.89	1	34
1/25/2010	8	33.34	2	10
1/25/2010	9	1135.63	32	329
1/25/2010	10	3664.22	83	1056
1/25/2010	11	3960.22	91	1130
1/25/2010	12	3832.3	93	1174
1/25/2010	13	4832.51	113	1333
1/25/2010	14	5012.08	124	1366
1/25/2010	15	3537.41	101	1037
1/25/2010	16	5562.75	137	1650
1/25/2010	17	5255.37	135	1563
1/25/2010	18	4737.73	126	1408
1/25/2010	19	4346.71	114	1354
1/25/2010	20	3635.86	91	967
1/25/2010	21	2107.13	54	610
1/25/2010	22	30.13	3	7
1/26/2010	9	1682.42	57	435
1/26/2010	10	1374.39	53	428
1/26/2010	11	4232.37	92	1152
1/26/2010	12	4646.28	112	1368
1/26/2010	13	4295.89	130	1211
1/26/2010	14	4792.71	118	1313
1/26/2010	15	4733.85	104	1377
1/26/2010	16	3865.54	109	1128
1/26/2010	17	4390.14	121	1328
1/26/2010	18	5052.69	151	1499
1/26/2010	19	4229.79	106	1271
1/26/2010	20	3128.58	94	971
1/26/2010	21	2589.31	91	821
1/26/2010	22	355.78	6	119
1/27/2010	9	1531.29	50	428
1/27/2010	10	2523.14	74	726
1/27/2010	11	4035.98	102	1194
1/27/2010	12	5012.29	119	1323
1/27/2010	13	4408.76	112	1212
1/27/2010	14	4727.87	124	1405
1/27/2010	15	5347.25	128	1523
1/27/2010	16	5037.26	111	1321
1/27/2010	17	5375.61	131	1527
1/27/2010	18	4482.89	135	1386
1/27/2010	19	4424.55	93	1182
1/27/2010	20	2937.64	91	887
1/27/2010	21	2628.72	76	771
1/27/2010	22	41.2	2	7
1/28/2010	9	1629.35	48	496
1/28/2010	10	2315.7	63	622
1/28/2010	11	4458.32	114	1289
1/28/2010	12	4885.92	113	1316
1/28/2010	13	5272.11	106	1398
1/28/2010	14	5021.98	145	1424
1/28/2010	15	5975.84	143	1659
1/28/2010	16	5200.61	105	1500
1/28/2010	17	4991.73	152	1564
1/28/2010	18	4571.46	125	1258
1/28/2010	19	3885.96	90	1111
1/28/2010	20	3274.27	87	953
1/28/2010	21	2978.37	61	902
1/28/2010	22	41.25	2	18
1/29/2010	9	2469.6	59	598
1/29/2010	10	3860.22	82	1103
1/29/2010	11	3935.98	96	1106
1/29/2010	12	5410.13	134	1473
1/29/2010	13	4739.5	122	1338
1/29/2010	14	6925.44	146	1884
1/29/2010	15	5002.26	137	1486
1/29/2010	16	7053.46	169	2017
1/29/2010	17	6504.75	153	1830
1/29/2010	18	4792.63	115	1348
1/29/2010	19	5075.91	110	1435
1/29/2010	20	3202.87	77	938
1/29/2010	21	2244.37	61	662
1/29/2010	22	193.9	2	53
1/30/2010	8	33.61	4	10
1/30/2010	9	3739.6	71	947
1/30/2010	10	6033.81	124	1741
1/30/2010	11	7870.38	135	2012
1/30/2010	12	8374.88	173	2287
1/30/2010	13	7883.08	161	2204
1/30/2010	14	8578.87	166	2328
1/30/2010	15	9650.79	176	2523
